Year,GDP(in Bil. US$PPP),GDP per capita(in US$ PPP),GDP(in Bil. US$nominal),GDP per capita(in US$ nominal),GDP growth(real),Inflation rate(in Percent),Unemployment(in Percent),Government debt(in % of GDP)
1980,371.9,532.0,189.4,271.0,6.74%,11.3%,n/a,n/a
1981,431.5,603.2,196.5,274.7,6.01%,12.7%,n/a,n/a
1982,474.1,647.5,203.5,278.0,3.5%,7.7%,n/a,n/a
1983,528.6,705.3,222.0,296.3,7.3%,12.6%,n/a,n/a
1984,568.6,741.4,215.6,281.1,3.8%,5.2%,n/a,n/a
1985,617.4,787.1,237.6,302.9,5.3%,5.56%[181],n/a,n/a
1986,659.9,822.8,252.8,315.2,4.8%,7.8%[182],n/a,n/a
1987,703.0,857.7,283.8,346.2,4.0%,9.1%,n/a,n/a
1988,797.9,952.7,299.6,357.8,10.18%,7.2%,n/a,n/a
1989,878.5,"1,027.0",301.2,352.2,5.9%,4.6%,n/a,n/a
1990,961.8,"1,101.3",326.6,374.0,5.5%,11.2%,n/a,n/a
1991,"1,004.8","1,127.4",274.8,308.4,1.1%,13.5%,5.6%,75.3%
1992,"1,084.1","1,192.2",293.3,322.5,5.5%,9.9%,5.7%,77.4%
1993,"1,162.5","1,253.5",284.2,306.4,4.8%,7.3%,5.7%,77.0%
1994,"1,266.4","1,339.2",333.0,352.2,6.7%,10.3%,5.7%,73.5%
1995,"1,390.8","1,442.9",366.6,380.3,7.6%,10.0%,5.8%,69.7%
1996,"1,523.2","1,550.6",399.8,407.0,7.6%,9.4%,5.7%,66.0%
1997,"1,612.3","1,610.8",423.2,422.8,4.1%,6.8%,5.6%,67.8%
1998,"1,731.2","1,698.1",428.8,420.6,6.2%,13.1%,5.7%,68.1%
1999,"1,904.2","1,834.4",466.9,449.8,8.5%,5.7%,5.7%,70.0%
2000,"2,024.7","1,916.3",476.6,451.1,4.0%,3.8%,5.6%,73.6%
2001,"2,172.7","2,021.1",494.0,459.5,4.9%,4.3%,5.6%,78.7%
2002,"2,292.8","2,097.1",524.0,479.2,3.9%,4.0%,5.5%,82.9%
2003,"2,523.8","2,270.6",618.4,556.3,7.9%,3.9%,5.6%,84.4%
2004,"2,795.0","2,474.2",721.6,638.8,7.8%,3.8%,5.6%,83.4%
2005,"3,150.3","2,745.1",834.2,726.9,9.3%,4.4%,5.6%,81.0%
2006,"3,548.3","3,044.5",949.1,814.4,9.3%,6.7%,5.6%,77.2%
2007,"4,001.4","3,381.8","1,238.7","1,046.9",10.3%,6.2%,5.6%,74.1%
2008,"4,236.8","3,528.7","1,224.1","1,019.5",3.9%,9.1%,5.4%,72.8%
2009,"4,625.5","3,798.5","1,365.4","1,121.2",7.9%,12.3%,5.5%,71.5%
2010,"5,161.4","4,181.7","1,708.5","1,384.2",8.5%,10.5%,5.5%,66.4%
2011,"5,618.4","4,493.7","1,823.1","1,458.1",6.6%,9.5%,5.4%,68.6%
2012,"6,153.2","4,861.2","1,827.6","1,443.9",5.5%,10.0%,5.4%,68.0%
2013,"6,477.5","5,057.2","1,856.7","1,449.6",6.4%,9.4%,5.4%,67.7%
2014,"6,781.0","5,233.9","2,039.1","1,573.9",7.4%,5.8%,5.4%,67.1%
2015,"7,159.8","5,464.9","2,103.6","1,605.6",8.0%,4.9%,5.4%,69.0%
2016,"7,735.0","5,839.9","2,294.8","1,732.6",8.3%,4.5%,5.4%,68.9%
2017,"8,276.9","6,112.1","2,702.9","1,958.0",6.8%,3.6%,5.4%,69.7%
2018,"9,023.0","6,590.9","2,702.9","1,974.4",6.5%,3.4%,5.3%,70.4%
2019,"9,540.4","6,897.8","2,835.6","2,050.2",4.2%,4.8%,5.3%,75.0%
2020,"9,101.3","6,517.8","2,671.6","1,913.2",-5.8%,6.1%,8.0%,88.5%
2021,"10,370.8","7,355.4","3,150.3","2,234.3",9.1%,5.5%,6.0%,84.7%
2022,"11,855.4","8,329.3","3,386.4","2,379.2",7.2%,6.7%,n/a,83.1%
2023,"13,033.4","9,073.0","3,736.9","2,601.4",7%,4.9%,n/a,83.2%
2024,"14,165.5","9,773.0","4,062.2","2,802.5",7.3%,4.4%,n/a,83.7%
2025,"15,330.6","10,484.8","4,547.2","3,146.8",7.9%,4.1%,n/a,83.8%
2026,"16,563.8","11,232.6","4,765.5","3,231.7",7.1%,4.1%,n/a,83.8%
2027,"17,877.0","12,024.0","5,153.0","3,465.9",7.0%,4.0%,n/a,83.7%
